Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7kI6djJSMciKQHWwpLRmr4,"2wOqMjp9TyABvtHdOSOTUS,15NSFL63oPhmpXLcZHny2N","Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2, Moonlight: I. Adagio sostenuto","Beethoven: Complete Piano Sonatas","Ludwig van Beethoven,Fazıl Say",2020-01-17,436653,31,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:22Z,"classical,classical era,early romantic era,german romanticism,classical piano,turkish classical performance,turkish jazz",0.183,0.00504,1,-40.119,0,0.0741,0.995,0.906,0.104,0.145,67.685,4
4jKUdMQlnQEL5FNmACniF9,"7y97mc3bZRFXzT2szRM4L4,3pxt6077A2xXBAgMrgHRPg","Four Impromptus: Fantaisie-Impromptu in C-Sharp Minor, Op. 66","Chopin: Four Impromptus, Barcarolle & Sonata No. 3","Frédéric Chopin,Howard Shelley",1993-05-01,332200,19,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:22Z,"classical,early romantic era,polish classical,british classical piano,classical performance",0.152,0.0358,1,-26.618,1,0.0363,0.988,0.924,0.102,0.136,83.416,4
6iyaxzEyqPaiplwhmiW7mS,"61r0gpyOLgDz7475HFaJop","Vivaldi 4 Seasons, Summer 3 - Presto","Vivaldi's 4 Seasons - Piano Transcription","Manuele Cid",2010-12-10,174134,31,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:23Z,"",0.278,0.0587,0,-23.033,0,0.0397,0.99,0.933,0.107,0.203,142.638,3
1Uld5u6GAksDqd6K8xnmGS,"2p0UyoPfYfI76PCStuXfOP,0bouHpX4JiuPnIfP2jFxRi","4 Impromptus, Op. 90, D. 899: No. 3 in G-flat major","Schubert","Franz Schubert,Khatia Buniatishvili",2019-03-15,377506,47,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:23Z,"classical,classical era,early romantic era,caucasian classical piano,classical piano",0.128,0.00262,6,-36.152,1,0.037,0.991,0.921,0.111,0.0759,67.485,4
0aJDvIeUkceMRueD84rRDR,"7y97mc3bZRFXzT2szRM4L4,6wH3FXYafeARUkupv4XjGm","Waltz in A Minor, Op. Posth., B. 150","Chopin: Waltzes","Frédéric Chopin,Vittorio Forte",2018-08-03,148830,53,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:23Z,"classical,early romantic era,polish classical,italian classical piano",0.461,0.0457,9,-28.398,0,0.0587,0.988,0.913,0.0619,0.122,73.86,3
3b1p2uoKyYmxF3YGvVHCQF,"1Mtd57xUzIfeCexQtWRvgr","Prelude in C Major","Prelude in C Major","Rousseau",2019-02-03,137313,39,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:23Z,"",0.354,0.0964,0,-23.448,1,0.0457,0.981,0.904,0.112,0.2,129.318,4
266pahK31Y6cZd4BMzTcAj,"7y97mc3bZRFXzT2szRM4L4,0yPINB4V6U9g9i9iLRRJjx","Nocturne in C Minor, Op. Posthumous","Chopin: Nocturnes","Frédéric Chopin,Bruno Rigutto",2019-09-27,184813,39,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:24Z,"classical,early romantic era,polish classical,french classical piano",0.33,0.0369,5,-26.554,0,0.0384,0.99,0.926,0.106,0.0904,70.77,4
7lzrO2JngHzowRt7CzuKrC,"09jxdQxEDIWvwqYcT4w4Oc,33SgMdQogwHNZOV33pzbPK","Swan Lake - Versión de piano","Musica Clasica Relajante Piano","Música Clásica Maestro Mozy,Canciones infantiles Loulou & Lou",2019-11-17,96000,38,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:24Z,"musica para ninos",0.614,0.0157,9,-25.257,0,0.04,0.995,0.892,0.062,0.59,69.918,4
1cKk3AnXgzLi7xl2Rqhoix,"1Mtd57xUzIfeCexQtWRvgr","Prelude in E Minor (Op. 28 No. 4)","Prelude in E Minor (Op. 28 No. 4)","Rousseau",2018-08-27,172132,37,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:26Z,"",0.385,0.00623,4,-28.874,0,0.106,0.995,0.944,0.0886,0.0355,78.14,3
0SqIZFex7iT94oU8BJxdar,"7y97mc3bZRFXzT2szRM4L4,5PBkqMGQIERbzE5fSqdMr0","Nocturne No. 8 in D-Flat Major, Op. 27 No. 2","The Nocturnes","Frédéric Chopin,Park Eun Shik",2019-12-13,395033,29,spotify:user:extmqycqbstl3w9c5dvw851n0,2021-12-13T19:56:26Z,"classical,early romantic era,polish classical,korean classical performance,korean classical piano",0.344,0.0126,1,-27.76,1,0.039,0.994,0.917,0.1,0.0516,72.331,4
