Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5CBV7Q4ZXw3r2wVd5aGaDt,"4f0OXMMSxr0r8Ztx6CdpAl","Lions","Lions","Sub Zero Project",2022-03-10,274910,54,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,rawstyle",0.27,0.863,10,-5.574,0,0.128,0.000201,0.00498,0.137,0.169,149.681,4
4SR46lHTitWMTzRTwsFIa6,"4FDj6mh458K7m9Txwyj2rt,0aKXalHKVzkLJ6aeUY3HMf","Irrenhaus","Irrenhaus","Harris & Ford,Outsiders",2021-07-16,203599,63,spotify:user:11124443444,2022-06-10T00:41:23Z,"partyschlager,nederlandse hardstyle",0.446,0.878,11,-3.898,0,0.0615,0.176,0,0.0918,0.233,154.953,4
5be1i9zXIIl6FGaxOlFZ4o,"5zXPv1332E2IWXvjotBr09,0xMCuSqF7uPefaatWnEx7F","I Like It","I Like It","Crude Intentions,Ruthless",2022-03-24,185250,44,spotify:user:11124443444,2022-06-10T00:41:23Z,"hardstyle,rawstyle",0.686,0.952,1,-1.701,1,0.203,0.103,0.609,0.369,0.34,160.017,4
2SfZz1PiMgma882CqeEvqf,"1Wt63OMKtv6v2ivHuQLm2C","Beat Of The Drum","Beat Of The Drum","Coone",2020-12-31,224500,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.511,0.862,11,-4.794,0,0.0469,0.00205,0.0000272,0.0814,0.238,152.942,4
7KRWjS9cKpKksx9OVtJqbI,"7AGSJihqYPhYy5QzMcwcQT","An Idea Never Dies (X-Qlusive OST)","An Idea Never Dies (X-Qlusive OST)","Phuture Noize",2022-04-15,174967,49,spotify:user:11124443444,2022-06-10T00:41:23Z,"australian dance,classic hardstyle,euphoric hardstyle,rawstyle",0.417,0.942,2,-4.52,0,0.158,0.0143,0.00207,0.435,0.0543,155.058,4
1P0mcQCTn85NY7I1cKFVZh,"5QySqc6yAFDx9m7fedFZmC","Thunder","Thunder","Brennan Heart",2021-09-09,241032,53,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.486,0.846,0,-3.31,1,0.0777,0.0622,0.00403,0.345,0.162,153.038,4
26aTIeF87ZP7IprFP3vqbi,"0wr85NuJuAYZsRzP1lJgiV,7mE37XRULrIzHfg9OWmIud","Shake The Ground","Shake The Ground (feat. Noubya)","Wildstylez,Noubya",2020-09-10,213200,48,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle",0.34,0.933,9,-4.564,0,0.0589,0.00445,0.000227,0.151,0.137,149.977,4
2ybm6gECxGAXmmsoNUtgLc,"0MBGxwmCdXdO26ojaNcT64,0I5is4tdxHhT3Ft2EzPjlB,4LBa6kTLaQHiONCfTfTaXV","All Or Nothing","All Or Nothing","Atmozfears,Code Black,Toneshifterz",2020-08-27,168135,51,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,hardstyle",0.518,0.846,11,-3.717,0,0.0494,0.00904,0.00000118,0.12,0.249,149.947,4
27OTwxrYEXm7KowtJ8QqMN,"1CqOLQmjzVWXQTiIN5Wucs,2gZzTzeACSwFqkMroVxmnm","Wonder","Wonder","TNT,Darren Styles",2020-12-11,222122,52,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,happy hardcore,hardcore techno",0.449,0.985,6,-2.508,1,0.0613,0.00193,0.136,0.111,0.296,155.008,4
2jkoanGKXN9I3gfeYo4aph,"1Wt63OMKtv6v2ivHuQLm2C,6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl,1VUCpVmcvvkZ9W65lm7Wob","Toss A Coin To Your Witcher","Toss A Coin To Your Witcher","Coone,Da Tweekaz,Hard Driver,Bram Boender",2020-09-10,252800,62,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.268,0.867,10,-4.439,0,0.0922,0.0171,0,0.108,0.301,149.953,4
3QeEf7TMugwZkmn0hPmXio,"6L7a6wPGpvLtTwOsMLnF1z,2FmgW6Jee0JQKtb6EnBWCq","Harder State Of Mind","Harder State Of Mind","D-Block & S-te-Fan,DJ Isaac",2020-06-09,236800,65,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,australian dance,gabba,happy hardcore,hardcore techno",0.515,0.94,9,-2.452,0,0.0478,0.0044,0.0000106,0.23,0.284,150.051,4
7aKme0bvekUFoMI0cHGIRk,"1Wt63OMKtv6v2ivHuQLm2C,5QySqc6yAFDx9m7fedFZmC","Fine Day","Fine Day","Coone,Brennan Heart",2020-03-27,236800,53,spotify:user:11124443444,2022-06-10T00:41:23Z,"belgian edm,classic hardstyle,euphoric hardstyle,jumpstyle,rawstyle",0.502,0.956,1,-4.445,0,0.0874,0.0772,0.00194,0.0455,0.266,150.018,4
1yzRHp7bEhYHhpEU8ji8Y9,"1CqOLQmjzVWXQTiIN5Wucs,37jL2LnGjAkadOCszr8v7C,3mZnhzeAyjpFhO3cIepzBr","Gung","Gung","TNT,Technoboy,Tuneboy",2019-08-16,212429,0,spotify:user:11124443444,2022-06-10T00:41:23Z,"euphoric hardstyle,classic hardstyle,rawstyle",0.558,0.985,1,-3.191,1,0.0818,0.00469,0.0000529,0.297,0.612,149.992,4
4yCzT5UoxQ6z5xKc8Trgxk,"5cPNMq5lKAoAKyv5kdpz9s,4by5ENA6ZMNCQkOX3RIh0G","Burning - JNXD Remix","Burning (JNXD Remix)","Frequencerz,JNXD",2021-03-30,229634,44,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,euphoric hardstyle,rawstyle,hardstyle",0.564,0.946,11,-4.256,0,0.239,0.00948,0.00000543,0.21,0.071,154.938,4
6eyuU00bw19YhHGhvbLKcr,"7IeovKzVkfcG9mIJGNzTcT","Hurricane","We Rule The Night","Ran-D",2020-05-01,295646,0,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,rawstyle,tekk",0.577,0.978,8,-1.561,0,0.416,0.0321,0,0.34,0.365,155.234,4
3tvFbMS6E3mk6KY3hJn3Ht,"2DYDFBqoaBP2i9XrTGpOgF,6jZl6risV5vg6O83zKSHHs","Danse Macabre - Kan Takahiko Remix","Danse Macabre","Naeleck,Oddity",2015-03-30,267200,39,spotify:user:11124443444,2022-06-10T00:41:23Z,"electro",0.635,0.933,0,-4.264,1,0.221,0.00678,0.0236,0.343,0.151,150.06,4
2MxsTNQvvAJuuHK1V6nMQV,"7E6DrjKJieOdJKO8mbwCMO","World Out There","World Out There","D-Sturb",2020-05-07,202495,48,spotify:user:11124443444,2022-06-10T00:41:23Z,"classic hardstyle,frenchcore,rawstyle,xtra raw",0.47,0.974,6,-2.916,0,0.116,0.000764,0.00000819,0.4,0.321,154.989,4
